"","CKU1","CKU3","CKU4","CKU5","CKU2","CLU1","CLU2","CLU3","CLU4","CLU5","JPU1","JPU2","JPU3","JPU4","JPU5","MHU1","MHU2","MHU3","MHU4","MHU5","YMU1","YMU2","YMU3","YMU4","YMU5"
"OTU202.p:Alveolata-Ciliophora.g:Colpoda",1,7,7,2,0,0,2,5,5,8,3,4,10,3,1,1,0,1,3,0,6,3,7,3,6
"OTU204.p:Tubulinea-Tubulinea_X.g:Nolandellidae_X",1,2,2,3,2,0,1,0,0,0,2,0,0,0,2,2,0,6,3,4,0,0,0,1,0
"OTU205.p:Evosea-Evosea_X.g:Tychosporium",3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU206.p:Stramenopiles-Gyrista.g:Synchromophyceae_XXX",0,2,0,2,6,0,1,1,3,5,0,0,1,0,1,2,2,3,2,0,4,6,3,7,4
"OTU208.p:Rhizaria-Cercozoa.g:Sandonidae_X",0,1,1,1,1,1,3,3,1,3,4,1,4,2,6,2,2,5,2,5,6,1,4,3,5
"OTU209.p:Evosea-Evosea_X.g:Variosea_XXX",0,1,0,1,1,1,2,2,2,3,2,4,3,0,1,2,0,2,0,3,4,0,3,2,5
"OTU210.p:Tubulinea-Tubulinea_X.g:Flabellula",0,0,0,0,1,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"OTU211.p:Chlorophyta-Chlorophyta_X.g:Chloromonas",0,4,8,3,1,3,0,1,2,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0
"OTU215.p:Stramenopiles-Stramenopiles_X.g:Stramenopiles_X-Group-6_XXX",0,0,0,0,0,1,2,4,2,1,0,0,1,0,0,0,0,0,0,0,0,1,2,1,0
"OTU216.p:Evosea-Evosea_X.g:Flamella",0,0,0,1,0,1,0,2,0,1,0,0,5,1,2,0,0,0,0,0,0,0,0,0,0
"OTU217.p:Chlorophyta-Chlorophyta_X.g:Ulvophyceae_XXX",0,2,1,0,1,1,1,5,2,2,2,1,2,0,1,0,0,0,0,0,0,1,0,0,0
"OTU221.p:Stramenopiles-Gyrista.g:Hyphochytrium",1,0,2,1,0,2,2,0,0,2,0,1,3,39,3,0,1,1,0,0,1,3,0,2,4
"OTU222.p:Evosea-Evosea_X.g:Flamella",0,0,0,0,0,4,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU223.p:Stramenopiles-Bigyra.g:Labyrinthula",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU226.p:Evosea-Evosea_X.g:Flamella",0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
